This file describes the usage of all savegame variables except the engine ones (see Savegame.h for them).

integers (above 1024):

1024	current number of bombs
99	fairy cave: the fairy has appeared
100	fairy cave: the fairy gave the boomerang 2
101	cave of the hole near the flower: piece of heart
102	bomb cave 3F: chest with the bomb bag
103	dungeon 2: boss heart container
104	billy's cave: chest with 100 rupees
105	mountain cave: piece of heart
106	mountain cave: chest with the fire stone
107	piece of heart on the small island near the castle
108	dungeon 3 1F: small key in a pot (south-east corner)
109	dungeon 3 1F: small key block (north)
110-112	outside world: weak blocks of the dungeon 3 entrance
113	dungeon 3 1F: door to open with the five torches
114-117	rupee house: pickable rupees in game 3
118	dungeon 3 1F: chest with map
119	dungeon 3 2F: chest with a small key
120	dungeon 3 2F: weak block
121	dungeon 3 1F: water drained (center)
122	dungeon 3 1F: water drained (east)
123	dungeon 3 3F: big chest with the hookshot
124	dungeon 3 3F: chest with the boss key
125	dungeon 3 3F: locked door
126	dungeon 3 2F: chest with the compass
127	dungeon 3 2F: barrier of the compass chest
128	dungeon 3 2F: water drained (south-east)
129	dungeon 3 2F: chest with the big key
130	bomb cave: weak floor
131	dungeon 3 1F: water drained (north)
132	dungeon 3 3F: piece of heart
133	dungeon 3 3F: weak floor
134	billy's cave: got the edelweiss
135	billy's cave: talked the first time
136	surprise wall open
137	cake shop: bought the apple pie
138	surprise wall: got the golden bars
139	surprise wall: secret way open
140	beaumont cave (inferno maze): chest with a fire stone
141-146	beaumont cave (inferno maze): chests with small keys
147-152 beaumont cave (inferno maze): small key blocks
153	beaumont cave opened with the edelweiss
154	inferno river maze: chest with a fire stone
155	rupee house broken
156	smith cave: won the battle agains the thiefs
157	broken rupee house: got the flippers
158	lake shop: weak wall
159	outside world B3: stone lock
160	chests game cave: first dialog
161-169 inferno river maze 1F: changed the state of each water pool
171-179 inferno river maze B1: changed the state of each water pool
180	chests game cave: got the wooden key
181	chests game cave: got the piece of heart
182	lost woods cave: got the iron key
183-186	lost woods cave: small key blocks
187-190	lost woods cave: small keys
191	fairy cave: piece of heart
192	fairy cave: chest with the stone key
193	outside world B2: iron lock
194	outside world B2: wooden lock
195	lake cave: chest with the ice key
196	cave under the waterfall: chest with 300 rupees
197	waterfall cave: piece of heart
198	junk shop: bought the red rupee
199	junk shop: bought the mirror

200-299: dungeon 10
200	1F: Small key 1 
201	1F: Torches
202 	1F: Small key 2
203
204     2F: Small key 1
205     2F: Torch group 1
206     2F: Torch group 2
207     1F: Door 1
208     1F: Door weak 1
209	1F: Door key 1
210	1F: Weak block 1
211	1F: Weak block 2
212	1F: Weak block 3
213	1F: Weak block 4
214	1F: Weak block 5
215	1F: Weak block 6
217	2F: Key block 1
218	2F: Key block 2
219	2F: Key block 3
220	2F: Key block 4
221	2F: Small key 2
222	1F: Small key 3
223	1F: Door key 2
224	1F: Chest 1
225  	2F: Chest 1
226	B1: Chest 1
227	2F: Small key 3 
228	1F: block of the shortcut
229	2F: Compass
...
241     4F: piece of heart
...
297     B1: water drained
298     obtained the sword 2 or 3 from the boss
299     boss killed

300	dungeon 6 2F: chest with 100 rupees
301	dungeon 6 2F: chest with boss key
302	dungeon 6 2F: chest with small key (south-east)
303	dungeon 6 2F: chest with compass (underwater)
304	dungeon 6 2F: locked door
305	dungeon 6 3F: chest with small key (south-east)
306	dungeon 6 3F: big key door
307	dungeon 6 3F: small key block (east)
308	dungeon 6 4F: big chest (golden glove)
309	dungeon 6 4F: piece of heart
310	dungeon 6 4F: locked door
311	dungeon 6 4F: boss key door
312	dungeon 6 1F: chest with the map
313	dungeon 6 1F: torches lit
314	dungeon 6 2F: weak floor
315	dungeon 6 3F: chest with the big key
316	dungeon 6 3F: chest with small key (north-west)
317	dungeon 6 1F: chest with small key (north)
318	dungeon 6 3F: small key block (north-west)
319	dungeon 6 2F: water drained
320	dungeon 6 3F: miniboss killed
321	dungeon 6 4F: boss killed
322	dungeon 6 4F: heart container
323	dungeon 6 3F: torches lit

400	dungeon 4 B1: small key in the sensors room
401	dungeon 4 1F: boss door
402	dungeon 4 1F: locked door (north-east)
403	dungeon 4 1F: hidden weak wall
404	dungeon 4 1F: big chest
405	dungeon 4 1F: chest with the compass
406	dungeon 4 1F: big key door to miniboss
407	dungeon 4 1F: chest with the map
408	dungeon 4 1F: chest with 3 bombs
409	dungeon 4 1F: chest with the big key
410	dungeon 4 1F: weak block
411	dungeon 4 1F: chest with the boss key
412	dungeon 4 1F: weak floor
413	dungeon 4 1F: piece of heart
414	dungeon 4 1F: chest with 50 rupees
415	dungeon 4 boss
416	dungeon 4 heart container
417	dungeon 4 B1: special torch removed
418	dungeon 4 1F: chest with 100 rupees

500	dungeon 5 1F: chest with 100 rupees
501	dungeon 5 1F: chest with the compass
502	dungeon 5 1F: small key (SE)
503	dungeon 5 1F: chest with the big key
504	dungeon 5 2F: big chest with the feather
505	dungeon 5 2F: chest with a small key
506	dungeon 5 2F: piece of heart
507	dungeon 5 1F: boss key door
508	dungeon 5 1F: big key door
509	dungeon 5 B1: chest with the map
510	dungeon 5 B1: bomb bag 2 or 3
511	dungeon 5 B1: prison 1 open
512	dungeon 5 B1: prison 2 unlocked once
513	dungeon 5 1F: locked door (south-west)
514	dungeon 5 1F: east door
515	dungeon 5: block in the big key room
516	dungeon 5 2F: locked door to the miniboss
517	(unused)
518	dungeon 5 B1: chest with the boss key open
519	dungeon 5 B1: chest with the boss key enabled
520	dungeon 5: boss killed
521	dungeon 5: boss heart container
522	dungeon 5 1F: middle door

600	dungeon 7 1F: chest with a small key (NW)
601	dungeon 7 1F: piece of heart (NW)
602	dungeon 7 1F: chest with the map
603	dungeon 7 1F: chest with a small key (SW)
604	dungeon 7 1F: SW door
605	dungeon 7 1F: small key block
606	dungeon 7 1F: big key door
607	dungeon 7 1F: chest with a small key (SE)
608	dungeon 7 2F: big chest with the cane of somaria
609	dungeon 7 2F: chest with the big key
610	dungeon 7 2F: small key block near the big key chest
611	dungeon 7 2F: chest with the compass
612	dungeon 7 2F: boss door
613	dungeon 7 2F: chest with 100 rupees
614	dungeon 7 2F: chest with a big magic flask
615	dungeon 7 2F: door D
616	dungeon 7 2F: locked door (NW)
617	dungeon 7 2F: door C
618	dungeon 7 2F: torches (NW)
619	dungeon 7 2F: weak floor (NW)
620	dungeon 7 2F: miniboss (NE)
621	dungeon 7 1F: NE door
622	dungeon 7 3F: chest with the boss key
623	dungeon 7 3F: NW block fallen into hole A
624	dungeon 7 3F: NE door
625	dungeon 7 3F: boss
626	dungeon 7 3F: boss heart container
627	dungeon 7 3F: door A (timed doors)
628	dungeon 7 2F: shortcut to the boss
629	dungeon 7 3F: chest with 100 rupees

700 dungeon 8 1F: map chest (MAP)
701 dungeon 8 1F: key door (KD01)
702 dungeon 8 1F: key chest (KC01)
703 dungeon 8 1F: key door (KD02)
704 dungeon 8 1F: key pot (KP02)
705 dungeon 8 1F: big key chest (BK01)
706 dungeon 8 B1: key chest (KC03)
707 dungeon 8 B1: key chest (KC04)
708 dungeon 8 B1: chest button (CB03)
709 dungeon 8 B1: chest button (CB04)
710 dungeon 8 B1: key door (KD03)
711 dungeon 8 B2: 100 rupee chest (RC100)
712 dungeon 8 B2: 50 rupee chest (RC50)
713 dungeon 8 B2: big key door (BD01)
714 dungeon 8 B2: key door (KD04)
715 dungeon 8 B3: key chest (KC05)
716 dungeon 8 B3: compass (CMP)
717 dungeon 8 B4: key door (KD05)
718 dungeon 8 B1: croissant chest (CC01)
719 dungeon 8 B3: mirror shield (SHD)
720 dungeon 8 B3: door button (DB1)
721 dungeon 8 B3: door button (DB2)
722 dungeon 8 B1: croissant chest (CC02)
723 dungeon 8 1F: locked door (LD6)
724 dungeon 8 1F: piece of heart
725 dungeon 8 B3: falling statue (STT5)
726 dungeon 8 B2: boss key chest (XK01)
727 dungeon 8 1F: Billy killed
728 dungeon 8 boss: Agahnim killed
729 dungeon 8 1F: heart container from Billy
730 dungeon 8 1F: boss key door
731 dungeon 8 1F: weak wall
732 dungeon 8 B1: weak wall (WW02)

800	dungeon 9 1F: chest with 300 rupees (SW)
801	dungeon 9 1F: got the map from the chest
802	dungeon 9 1F: the chest with the map has appeared
803	dungeon 9 1F: locked door (SW)
804	dungeon 9 1F: big key door (S)
805	dungeon 9 1F: chest with a small key (SE)
806	dungeon 9 1F: chest with the big key (E)
807	dungeon 9 1F: big chest with the red tunic
808	dungeon 9 1F: chest with a small key (W)
809	dungeon 9 1F: big key door (N)
810	dungeon 9 1F: chest with a small key (NW)
811	dungeon 9 2F: chest with a small key (N)
812	dungeon 9 2F: barrier open (N)
813	dungeon 9 2F: locked door (E)
814	dungeon 9 2F: chest puzzle to get the compass (N)
815	dungeon 9 2F: locked door (N)
816	dungeon 9 1F: shortcut teletransporter to the boss (S)
817	dungeon 9 2F: locked door (W)
818-863	dungeon 9 3F: rupees (NW)
864	dungeon 9 3F: door B (SW)
865	dungeon 9 3F: chest with 100 rupees
866	dungeon 9 3F: miniboss
867	dungeon 9 4F: weak wall A
868	dungeon 9 4F: weak wall B
869	dungeon 9 4F: locked door (N)
870	dungeon 9 4F: door A
871	dungeon 9 4F: door B
872	dungeon 9 4F: chest A (small key)
873	dungeon 9 4F: chest B (small key)
874	dungeon 9 4F: locked door (S)
875	dungeon 9 4F: big chest with the magic cape
876	dungeon 9 4F: chest C (small key)
877	dungeon 9 5F: chest A (small key)
878	dungeon 9 5F: chest B (small key)
879	dungeon 9 5F: locked door
880	dungeon 9 5F: enemy of door D
881	dungeon 9 1F: boss killed
882	dungeon 9 1F: pot with a small key (N)
883	dungeon 9 1F: locked door (N)
884	dungeon 9 4F: locked door (NE)
885	dungeon 9 5F: locked door (NE)

900	junk shop: bought the piece of heart
901	dungeon 3: miniboss
902	dungeon 3: boss
903	dungeon 3: boss heart container
904	dungeon 3 1F: door before the torches room
905	outside maps: dark world enabled
906	dungeon 3 3F: boss key door
907	outside world A2: entrance door of the castle open
908	dungeon 3 2F: shortcut A
909	dungeon 3 2F: shortcut B
910	castle B1: chest with 300 rupees
911	potion shop: got the bottle 2
912	outside world A3: chest with 100 rupees
913	castle waterfall: bottle 4
914	outside world B2: dungeon 6 open
915	outside world B2: talked to Inferno
916	outside world B2: got 100 rupees from Inferno
917	west moutain cave 1F: piece of heart
918	west moutain cave 3F: piece of heart
919	outside world A1: entrance of dungeon 7
920	outside world B1: piece of heart
921	outside world B1: vine
922	outside world A3: piece of heart above dungeon 3
923	dungeon 1 1F: weak wall
924	dungeon 1 1F: piece of heart
925	dungeon 3 4F: big key door
926     bone key cave: chest with the bone key
927     bone key cave: chest with 300 rupees
928	Billy's cave: door open
929	north fairy fountain: the fairy has appeared
930	north fairy fountain: got the tiger scrolls
931	hidden palace: chest with the sword
932	hidden palace D1: chest with 3 bombs
933	hidden palace D1: chest with 20 rupees
934	hidden palace D1: bone key door open
935	outside world A4: chest with a piece of heart (south)
936	twin caves: piece of heart
937	laser cave: piece of heart
938	Lyriann shop: bomb bag 2 or 3
939	Lyriann shop: quiver 2 or 3
940	Lyriann shop: huge rupee bag
941	end of dungeon 6: quiver 2 or 3
942	lake west cave: chest with 100 rupees
943	west moutain cave 1F: chest with the bottle 3
944	hidden palace D3: chest with 20 rupees
945	Sahasrahla's house B1: pot with 20 rupees
946	Twin caves: weak block
947	Castle B1: weak wall A
948	Castle B1: weak wall B

